af,al,ag,aq,ao,av,ac,ar,am,aa,as,au,aj,bf,ba,bg,bb,bo,be,bh,bn,bd,bt,bl,bk,bc,br,vi,bx,bu,uv,bm,by,cb,cm,ca,cv,cj,ct,cd,ci,ch,co,cs,iv,hr,cu,cy,ez,cg,da,dj,do,dr,ec,eg,en,ek,er,en,et,fj,fi,fr,fg,fp,gb,ga,gg,gm,fh,gr,gj,gp,gt,gv,pu,gy,ha,ho,hk,hu,ic,in,id,ir,iz,ei,is,it,jm,jn,jo,kz,ke,kr,ks,kv,ku,kg,lo,lg,le,lt,li,ly,lh,lu,mc,mk,ma,mi,my,mv,ml,mt,rm,mb,mr,mp,mx,fm,mn,mg,mj,mh,mo,mz,wa,np,nl,nt,nc,nz,nu,ng,ni,no,mu,pk,ps,pm,pp,pa,pe,rp,pl,po,qa,cf,md,ro,rs,rw,sc,st,vc,ws,tp,sa,sq,ri,ri,se,sl,sn,lo,si,bp,so,sf,od,sp,ce,su,ns,wz,sw,sz,sy,tw,ti,tz,th,to,tn,td,ts,tu,tx,tk,ug,up,ae,uk,us,uy,uz,ve,vm,ym,za,zi,ja,gl,gh,sg,la
809,3804,725,6,70,20,344,1854,1003,20,1636,324,829,613,85,5764,622,1736,536,606,50,57,0,1409,9220,11,5555,54,13,3934,39,961,23,1711,688,12846,864,25,4,19,1360,36468,11542,1048,352,847,15168,128,196,99,430,12,76,13972,6121,3560,18035,4,306,192,3243,1187,302,2754,11,11,15,185,395,6052,3472,760,524,41,7954,3,164,4576,17870,4734,4326,819,104,33523,1414,6790,4070,1037,2227,1959,12760,5640,3120,1195,1758,3,12577,1,812,311,1087,439,2930,8,1256,144,1080,21,216,632,27,49,1241,0,88,44,3,16,71,44,138795,4,10,37,1,56,2892,33,24,493,1070,43,3,772,16758,24,6265,368,41,11604,3,1464,17,271,7664,33875,8072,1075,78,152,1001,5491,13552,59,400,480,398,148,7,851,444,1,2194,15,1268,535,440,61,6,1915,2260,1,1004,895,1225,205,10,1012,824,1894,7216,125,384,3003,309,280,5308,246,2085,78,37,335,12409,348,10619,28,341,1305,3755,21243,1432,169,258,5640,430,3472,444,1087
1011,4755,906,7,87,25,429,2317,1253,25,2044,405,1036,766,106,7204,777,2170,670,757,62,71,0,1761,11525,13,6943,67,16,4917,48,1201,28,2138,860,16057,1079,31,4,23,1700,45585,14427,1310,439,1058,18960,160,244,123,537,14,95,17465,7651,4450,22543,5,382,239,4053,1483,377,3442,13,13,18,231,493,7565,4339,950,655,51,9942,3,204,5719,22337,5917,5407,1023,129,41903,1767,8487,5087,1296,2783,2448,15949,7049,3900,1493,2197,3,15721,1,1015,388,1358,548,3662,9,1570,180,1349,26,270,790,33,61,1551,0,109,54,3,20,88,54,173493,5,12,46,1,70,3614,41,30,616,1337,53,3,964,20947,30,7831,459,51,14504,3,1829,21,338,9579,42343,10090,1343,97,189,1251,6863,16940,73,500,599,497,184,8,1063,554,1,2742,18,1585,668,549,76,7,2393,2824,1,1254,1118,1531,256,12,1264,1029,2367,9019,156,480,3753,386,349,6635,307,2606,97,46,418,15511,435,13273,35,426,1631,4693,26553,1789,211,322,7049,537,4339,554,1358
1202,4358,875,28,94,55,461,3297,1762,29,2811,522,1152,924,118,7152,895,2901,814,936,75,98,5,1819,23594,24,9448,70,27,4400,68,1373,79,2462,791,21752,868,23,11,44,1921,56267,16627,1733,596,2853,27453,216,307,145,706,22,93,21195,9665,5159,31089,3,540,348,5092,1452,497,4569,8,16,32,390,786,9790,4023,1155,645,84,13496,11,273,8279,27031,6571,8300,1263,134,70032,2525,10425,4965,1505,3744,3096,15322,9578,4572,2310,2501,0,20532,1,1258,582,1398,711,4579,6,2273,223,1732,34,340,921,61,70,2439,9,119,57,0,22,117,84,205560,9,9,102,1,61,4958,48,54,945,1679,114,6,1205,19634,1330,8253,547,55,16393,0,1867,26,401,11062,52919,11769,1609,125,311,2068,6628,20313,148,463,674,559,165,1,1178,663,1,6203,18,1878,1100,809,142,7,3007,4090,1,1711,1505,1650,245,18,1682,1298,3350,12120,187,476,4245,487,327,6618,438,3215,94,33,457,20914,460,18278,63,541,2031,5170,35419,1607,295,475,9578,706,4023,663,1398
1759,3765,1030,26,92,20,380,3661,1800,32,2557,483,1164,808,85,5483,813,2923,769,966,137,108,14,1664,25329,30,9439,43,28,3608,64,1356,120,2800,984,19352,871,24,13,47,1839,61082,18758,1591,629,3798,28182,158,267,178,609,30,148,22515,10561,4852,31060,8,560,343,7565,1208,426,3797,6,12,41,343,886,8888,4248,1009,634,38,16178,16,289,9938,20213,6435,6075,1274,93,70823,2418,12960,5174,1398,3826,2578,14835,8248,3964,2315,3199,0,20724,1,1056,473,1245,683,3935,13,2869,158,1786,32,284,821,43,56,2124,9,105,44,26,19,124,83,218822,0,17,135,1,42,3387,54,46,1137,1549,97,5,1117,10659,1263,8105,431,61,13694,10,1680,26,356,11918,51040,12711,1313,108,677,2103,4887,20771,217,342,583,480,157,4,1014,530,1,10387,20,2246,1033,725,140,7,4535,3861,1,1361,1529,2921,247,12,1376,1004,2557,9775,181,577,4144,935,331,5738,540,3375,93,31,575,21190,472,16297,64,536,2317,5228,33563,1227,308,484,8248,609,4248,530,1245
1252,3362,759,16,59,26,301,3129,1287,27,1836,295,746,423,59,4616,516,1858,455,588,76,92,15,1376,6155,27,6331,43,20,3825,60,1193,74,2263,927,11350,745,35,6,8,1310,40568,14720,1246,483,1153,9262,123,267,110,405,16,204,26159,7066,3348,28231,0,556,235,6635,1095,241,2375,4,14,40,263,735,5064,4410,651,481,35,14386,29,176,6809,12293,4645,3574,1021,97,50228,1805,7230,2450,983,2741,1644,13347,5971,2927,1740,3209,4,12382,1,707,356,896,458,2956,5,1766,140,2266,16,244,653,40,62,1200,15,124,37,26,14,131,57,115585,4,0,153,1,36,3137,36,40,2095,981,59,0,877,4094,808,7872,320,76,9415,8,1164,34,207,9409,45250,10510,808,72,513,1151,3655,13935,109,310,488,322,178,1,735,522,1,2994,16,1492,582,674,64,5,2444,2210,1,917,1246,1883,180,23,963,632,1938,6917,137,554,3126,1187,238,4138,353,3029,84,26,455,11633,380,9527,32,469,1445,4018,22087,1382,280,358,5971,405,4410,522,896
2137,3840,805,12,107,22,414,4805,1833,31,2604,402,969,586,116,8061,630,2255,638,871,185,100,17,1768,10552,34,10556,35,22,4253,103,1379,100,3553,1309,15569,1015,38,17,23,1810,55494,18846,1755,666,1511,20488,143,457,155,566,37,132,30506,8626,5522,29807,13,675,322,8286,1593,388,3595,5,13,50,422,964,7099,5337,769,609,59,18920,347,5,6351,14191,5508,3951,1272,105,70151,2419,10434,3494,1531,4160,2346,14430,7697,3431,1906,5335,0,19766,1,1091,439,1147,605,3818,14,2757,185,2480,13,192,775,54,83,1987,7,163,57,48,26,170,65,175411,5,7,229,1,33,4128,59,40,2878,1303,72,0,1131,4009,62,9374,405,122,12086,6,1417,19,328,11794,57846,14326,1069,125,670,1507,4571,17410,163,299,616,400,203,9,906,769,1,3331,25,1596,966,800,88,6,3929,3370,1,1339,1431,3211,166,15,1270,855,2256,9005,167,747,4318,2041,327,5384,457,3835,117,28,721,14156,586,14915,57,787,1995,6220,31524,1760,359,628,7697,566,5337,769,1147
4749,5947,1115,15,188,35,440,7081,2591,42,3193,532,1523,698,140,11487,846,3503,859,876,193,116,30,2197,14074,54,16662,41,49,5635,128,2095,186,4022,1458,21878,1225,37,24,31,2404,69933,25566,2278,930,1780,36261,196,476,260,718,50,198,27503,11608,7905,21359,10,796,438,10571,1422,574,4399,8,19,66,581,1389,9264,6491,1070,840,48,16818,495,26,9317,14524,7012,3705,1567,135,84680,3924,13887,4077,2088,5755,3066,18345,8768,3748,2223,5347,4,26562,1,1152,656,1242,768,4282,12,4880,223,2417,35,133,1070,60,131,2632,6,277,74,32,37,275,99,161445,6,7,323,1,50,4411,54,63,3158,1815,116,5,1293,3305,126,10597,423,101,14926,8,1815,44,516,15676,60746,15351,1125,174,1064,3506,7103,18055,276,342,832,625,173,8,1210,913,1,5202,16,2731,1204,965,114,3,5829,4536,1,1888,1894,5231,300,16,1517,1092,2831,9196,207,829,5505,1523,309,6568,495,4614,148,34,858,22745,812,19800,183,1154,2887,10645,32784,3366,499,923,8768,718,6491,913,1242
3417,7914,1300,28,272,32,570,7327,6317,51,3249,524,2371,847,148,14644,959,3086,716,1252,275,160,78,4025,3789,53,17903,47,25,4828,221,4562,320,5773,2919,18207,1780,65,51,73,2774,87307,43144,3109,2067,945,45614,180,344,738,699,34,471,38068,17489,10500,31782,13,1593,423,16152,2115,542,4258,15,37,85,897,2003,8436,9367,1124,1068,53,24133,1110,25,9552,22226,8177,3256,1704,145,61369,4868,13947,4337,1906,5943,3215,24976,8265,4038,2073,8779,8,24386,1,1230,785,2892,892,4083,18,6887,271,1885,28,189,1317,72,131,2281,0,408,70,53,30,720,108,173749,12,0,497,1,90,4949,78,56,3733,1651,100,7,1100,4145,116,13459,481,155,17418,8,2418,30,719,21718,74606,17051,1409,226,1600,3036,7137,13159,502,458,1212,756,283,6,1542,1367,1,5891,15,3572,997,1111,115,5,9462,3201,1,1971,2191,5504,314,11,1376,983,2918,8086,239,949,11749,1720,437,8854,510,4941,248,52,1372,17140,1006,17207,333,1664,4015,11341,30691,4308,672,1049,8265,699,9367,1367,2892
1753,5737,1036,11,199,25,415,5645,4351,55,2518,485,1166,738,133,12074,689,2328,638,1073,258,108,52,2590,1569,49,14295,40,32,3981,238,3130,257,4246,3392,15495,2048,40,52,74,2274,76655,33187,2540,1193,482,29104,137,287,1129,517,23,428,28024,12248,9267,21127,4,1081,368,12786,1637,426,3423,9,27,95,826,1554,7582,7610,882,751,38,17908,1088,25,5726,30405,7646,3527,1266,95,65353,3716,10460,3765,1503,4496,2569,19375,6748,3917,1604,7030,10,22405,1,1017,597,2575,568,4267,14,4102,186,1361,39,178,1227,53,123,2149,9,412,53,48,23,651,88,148640,7,6,530,1,66,4513,81,57,3472,1368,93,5,1047,3716,97,12448,343,103,13492,11,1916,31,545,17699,72596,10355,1019,138,972,1356,5802,9426,357,347,928,567,290,7,1171,1024,1,3586,7,1999,985,763,87,10,6251,2988,1,1578,1831,2930,197,13,1145,705,2385,8990,172,832,8751,1565,438,6829,417,4425,217,31,1122,11001,758,14545,171,1418,4665,10692,28691,2396,576,1057,6748,517,7610,1024,2575
2813,5754,1037,14,221,22,444,5353,3586,36,2464,443,1071,682,96,11753,585,2390,642,1077,317,92,42,2436,1491,41,12195,53,18,2960,238,3403,255,3713,3771,15109,1916,37,88,96,2017,80271,30213,2090,1645,455,49500,141,227,1261,498,39,454,31879,11663,8712,19659,16,1270,287,12917,1176,302,4872,6,26,82,739,1620,7091,8195,769,784,33,16182,1735,17,6823,26007,6540,3373,1127,122,63352,3606,13852,4795,1465,5851,2514,18477,6821,3936,1630,6998,4,26666,1,1104,632,2198,455,4254,16,7193,285,967,28,205,1107,77,133,1945,0,523,66,39,24,844,83,189989,13,7,659,1,61,4425,69,46,4093,1240,78,5,893,3614,107,12475,350,70,19719,6,1678,15,481,15184,54030,8354,772,151,950,1692,4930,11695,378,363,946,568,227,7,1194,1149,1,3255,16,2795,922,653,79,7,10745,2723,1,1621,1935,3598,218,18,1019,720,2641,9073,231,838,6637,1661,365,5937,410,4210,274,35,1174,10813,693,14348,216,1451,6375,10514,31497,1872,613,953,6821,498,8195,1149,2198
3165,5137,1485,19,173,21,437,5780,3442,38,2622,512,834,751,120,16651,603,2407,686,1041,401,108,594,2837,1501,55,14701,46,26,3133,416,13621,1505,3771,3463,16140,2238,45,107,102,2250,64238,27849,2384,2159,496,38954,142,146,2122,603,54,484,49414,12128,8844,19909,32,1928,282,15462,1194,423,4491,18,30,171,978,1578,7583,8401,798,748,32,12187,1725,20,6670,24280,6404,2651,1314,131,57304,3679,18553,12110,1637,5612,2892,21783,7690,4282,1562,9880,10,25926,1,1124,574,1688,444,3831,14,7641,296,1069,30,158,1128,71,164,2014,6,576,58,48,24,597,110,164920,16,4,831,1,43,5447,66,53,4514,1499,97,13,947,4137,183,15253,407,74,21555,16,1806,19,530,16957,60029,8754,946,134,1563,2295,4910,8238,952,310,1027,591,250,11,1418,1524,1,3166,10,2687,832,706,108,0,13390,3171,1,1769,2009,3577,227,42,1138,798,2442,8038,265,2773,10444,1680,379,6256,416,4958,290,31,1364,11223,697,15748,181,1775,5467,11154,29234,3134,704,983,7690,603,8401,1524,1688
2017,4711,1305,14,148,19,359,4399,2979,49,2512,442,781,652,104,14819,465,2038,592,965,486,72,6109,2253,946,66,12258,46,20,2570,377,12925,841,2986,4161,13328,1668,52,101,120,1950,70863,22406,2164,1621,357,33573,122,190,1764,518,37,366,53870,11492,8978,18806,12,1656,260,14266,1201,397,3861,9,16,138,859,1518,6888,7429,745,664,34,10467,1379,30,6749,22582,6448,2432,1022,105,69162,3032,14182,19855,1507,4515,2579,19825,6264,3868,1282,7421,6,22262,355,1037,507,1200,435,3487,23,4837,355,985,22,143,963,80,164,1714,0,528,74,37,15,495,84,139120,10,12,594,1,27,5013,53,60,7115,1321,77,6,919,3565,96,13376,334,63,18258,18,1536,30,467,14247,58173,7643,755,148,968,1981,4003,6718,489,339,872,576,219,10,1263,1285,20,2196,8,2011,774,538,74,6,4558,2758,1,1684,2036,2397,216,22,1097,675,2555,6732,299,1850,9384,1563,343,5435,418,4483,224,29,1085,8477,779,12792,201,1331,4770,9409,30632,3591,628,1274,6264,518,7429,1285,1200
1648,3612,1364,0,148,25,368,4473,2983,39,2343,424,728,668,119,16707,455,1964,567,905,462,71,10137,2173,878,76,11763,37,25,2661,433,16518,593,2745,4754,12800,1808,41,134,171,1853,87016,22635,2135,1302,349,36452,101,303,2424,459,56,287,46109,11103,7778,18667,13,2102,191,13793,1041,363,3653,1,21,204,972,1490,6125,8798,949,579,1,11092,1555,29,6599,22111,6133,2306,1044,90,69013,2856,14822,21133,1371,3826,2443,19662,6161,3876,1235,7762,1,22860,670,973,542,956,426,3295,25,4151,357,936,24,130,1078,83,123,2273,3,629,51,38,0,393,101,143446,9,6,774,1,30,4399,60,43,10166,1085,86,5,803,3401,96,11824,339,60,15546,7,1374,20,500,14064,57011,6863,821,193,1371,2258,3882,7944,520,350,785,468,267,9,1396,1424,244,1398,15,1985,690,594,69,1,4451,2649,1,1890,2053,2628,196,19,979,615,2785,6154,382,1427,9962,1506,408,5023,440,4403,260,33,1239,8292,707,11572,269,1553,5056,9183,34157,3361,652,1016,6161,459,8798,1424,956
1617,3364,1369,1,187,23,337,4359,2681,54,2414,407,663,619,104,14705,460,1659,574,847,415,85,10198,1948,815,80,11441,39,19,2440,558,17383,535,2473,3815,12932,1684,44,116,155,1673,81784,20931,2020,1760,336,32820,107,677,3731,459,106,125,41566,9342,8988,16256,20,2643,227,14544,853,348,3862,1,30,197,1159,1341,5812,10592,1054,671,1,10341,1656,47,5683,22818,6884,2104,1054,103,66434,2603,12916,20369,1514,4153,2673,20705,6061,4099,1202,7043,6,20895,782,1044,648,949,436,2879,17,4109,315,924,19,120,906,79,192,2605,1,734,62,50,1,410,77,146406,13,5,691,265,27,3656,94,59,11312,1091,106,3,814,3046,48,13575,276,74,14740,10,1281,21,467,12609,57327,6300,811,141,1461,2021,3748,9969,592,311,919,503,238,12,1343,1615,704,801,7,1688,712,528,86,1,5204,2781,17,1842,1994,2471,187,24,968,635,3014,5331,411,1516,9459,1756,276,5214,422,4162,223,30,1340,7642,854,12014,279,1374,4726,9387,28304,2620,643,914,6061,459,10592,1615,949