country,totalImmigrantsCountry
af,28540
al,62256
ag,14386
aq,191
ao,1975
av,350
ac,5355
ar,61626
am,36865
aa,508
as,33167
au,5876
aj,14204
bf,9162
ba,1448
bg,145356
bb,8693
bo,31482
be,8620
bh,12154
bn,3342
bd,1281
bt,27291
bl,28847
bk,102218
bc,602
br,153935
vi,607
bx,327
bu,49211
uv,2952
bm,80139
by,4893
cb,42945
cm,32604
ca,209969
cv,18945
cj,512
ct,724
cd,967
ci,25775
ch,877063
co,309309
cs,26355
iv,15490
hr,15573
cu,406623
cy,1926
ez,4192
cg,14140
da,7294
dj,518
do,3485
dr,434273
ec,140642
eg,94303
en,310295
ek,149
er,15782
en,3963
et,142122
fj,17470
fi,5304
fr,50597
fg,103
fp,274
gb,1219
ga,8660
gg,16357
gm,97187
fh,89240
gr,11925
gj,9129
gp,507
gt,192050
gv,11149
pu,1166
gy,94215
ha,281018
ho,84320
hk,50661
hu,15951
ic,1484
in,839804
id,39218
ir,162155
iz,111611
ei,19704
is,57405
it,34063
jm,237031
jn,95321
jo,50558
kz,22575
ke,76701
kr,56
ks,281087
kv,1817
ku,13808
kg,7179
lo,19744
lg,7429
le,49328
lt,186
li,55035
ly,3174
lh,20157
lu,346
mc,2586
mk,12756
ma,806
mi,1493
my,26914
mv,65
ml,4707
mt,757
rm,448
mb,255
mr,5015
mp,1093
mx,2156586
fm,109
mn,92
mg,5564
mj,277
mh,636
mo,56037
mz,793
wa,647
np,55234
nl,17919
nt,1148
nc,63
nz,13110
nu,88272
ng,4362
ni,144442
no,5115
mu,1065
pk,201746
ps,111
pm,21781
pp,336
pa,5855
pe,181916
rp,743916
pl,140077
po,13800
qa,1832
cf,12309
md,26225
ro,68119
rs,174573
rw,4776
sc,4734
st,10481
vc,6912
ws,2834
tp,93
sa,15433
sq,13339
ri,978
ri,51152
se,191
sl,28265
sn,11465
lo,9415
si,1242
bp,65
so,76198
sf,41162
od,29
sp,20825
ce,22772
su,39532
ns,2949
wz,245
sw,15794
sz,11041
sy,34039
tw,108436
ti,3034
tz,13848
th,91477
to,18010
tn,4527
td,78629
ts,5623
tu,52256
tx,2369
tk,439
ug,12180
up,180737
ae,8639
uk,190316
us,2084
uy,14479
uz,47380
ve,107654
vm,395136
ym,32413
za,6440
zi,10436
ja,95321
gl,7294
gh,89240
sg,13339
la,19744